Wormbase_Id,gene_name,ID,sequence_1,control_OP50_1,control_OP50_2,sams_1_OP50_1,sams_1_OP50_2,padj,log2FoldChange,pvalue,foldChange,log10padj
WBGene00006439,ant-1.1,T27E9.1,T27E9.1a.1,85327.96418,84389.68528,100311.7077,137320.8609,0.405057372,0.305383136,0.282035933,1,0.39248346
WBGene00000755,col-182,R09A8.4,R09A8.4,2.114825152,21.98295543,16.10186579,21.36284437,0.797023272,0.305203376,0.714875785,1,0.098528997
WBGene00009663,hda-5,F43G6.11,F43G6.11,119.9123204,106.5162506,137.9283325,183.3207269,0.625658016,0.30503175,0.508523501,1,0.203662987
WBGene00017385,,F11G11.5,F11G11.5.1,3690.827204,3265.756324,5038.065394,4679.150854,0.408792372,0.304862306,0.285429664,1,0.388497217
WBGene00001727,grl-18,T05C3.4,T05C3.4,10.25448449,6.596664831,18.10020107,9.181021899,0.798049586,0.304724327,0.716587199,1,0.097970123
WBGene00014963,,Y105C5A.21,Pseudogene:Y105C5A.21,4.094602383,0,8.038054684,2.049259785,1,0.304373304,0.690402343,1,NA
WBGene00010919,,M117.3,M117.3,5.139200945,4.721257083,10.05631321,7.130312303,1,0.304331251,0.720304978,1,NA
WBGene00010239,,F58B4.6,F58B4.6,35.93028157,60.92764914,49.32205996,89.57519421,0.721079965,0.304166528,0.619275183,1,0.142016571
WBGene00001507,fut-4,K12H6.3,K12H6.3,20.5052706,15.15004275,31.18506318,22.41379731,0.776274678,0.304049382,0.688341805,1,0.10998458
WBGene00015645,lips-7,C09E8.2,C09E8.2a,1.057138034,6.68206769,8.045097704,6.109635165,1,0.303991875,0.716146216,1,NA
WBGene00014105,,ZK856.4,ZK856.4b,5.139206799,4.721245708,9.052532154,8.141841702,1,0.303961573,0.720654948,1,NA
WBGene00219696,anr-39,F42G2.11,F42G2.11,8.277505946,3.375778804,11.49497579,8.341936734,0.801372238,0.303816027,0.720961847,1,0.096165707
WBGene00003674,nhr-84,T06C12.7,T06C12.7,126.0684365,123.6657191,156.9977591,195.5523964,0.612079712,0.303815104,0.493407292,1,0.213192015
WBGene00012886,,Y45F10D.6,Y45F10D.6,10.2694558,10.42738415,19.11043975,13.24554271,0.795122001,0.303501875,0.712037049,1,0.09956623
WBGene00004300,ram-2,F38A3.2,F38A3.2,216.3425582,1151.956226,568.6390028,1344.640874,0.680637363,0.303413346,0.571001385,1,0.167084214
WBGene00016951,,C55C3.1,C55C3.1,28.69900087,19.89432636,39.2382892,32.59248014,0.760285993,0.303307051,0.668966857,1,0.119023011
WBGene00006508,tns-1,M01E11.7,M01E11.7c,897.6367935,904.19661,1178.498474,1336.571611,0.435483205,0.303294023,0.311680201,1,0.36102859
WBGene00017032,,D1044.7,D1044.7,29.72677882,21.80193706,39.24102974,36.65924412,0.756652506,0.303264432,0.663659514,1,0.121103525
WBGene00004788,sft-4,C54H2.5,C54H2.5.1,3483.8496,3148.680221,4238.986866,5034.67048,0.410485689,0.303198876,0.287072855,1,0.386701979
WBGene00021461,nekl-1,Y39G10AR.3,Y39G10AR.3a,17.4501361,18.99216374,20.13254132,34.58455142,0.776274678,0.30303183,0.688456404,1,0.10998458
WBGene00007990,fipr-23,C37A5.4,C37A5.4,0.024255434,6.109974182,4.661029582,9.096458582,1,0.302885292,0.702676439,1,NA
WBGene00014000,,ZK550.6,ZK550.6,356.6213353,367.3490022,511.2445815,499.1671589,0.498730038,0.302772546,0.37417907,1,0.302134474
WBGene00012713,,Y39E4A.3,Y39E4A.3a,3196.946866,2889.743744,3954.131976,4550.711463,0.409821812,0.302684898,0.286456176,1,0.38740493
WBGene00044082,,D1086.12,D1086.12a,221.3526739,194.0816276,242.5466829,343.2566125,0.573681596,0.302504178,0.45144315,1,0.241329082
WBGene00013458,,Y67A10A.9,Y67A10A.9,169.1013788,160.7826064,261.6471412,200.6953486,0.592952188,0.302465296,0.472009786,1,0.226980324
WBGene00018739,,F53B1.8,F53B1.8b,874.0445279,670.9398244,956.0863083,1214.306772,0.487266759,0.301646316,0.3623114,1,0.312233215
WBGene00007867,,C32H11.4,C32H11.4,306.474716,673.0333934,315.0319922,1065.466361,0.652775312,0.301640787,0.539023278,1,0.185236279
WBGene00017174,tat-6,F02C9.3,F02C9.3,5.176804943,16.21413358,10.07111897,23.37529337,0.798135508,0.301533435,0.716763775,1,0.097923367
WBGene00001992,hot-7,Y48B6A.9,Y48B6A.9,4.036445975,19.1842911,25.46121437,9.846454115,0.800244146,0.301040222,0.719401384,1,0.096777494
WBGene00008960,,F19H6.5,F19H6.5,2.066479994,2.834183992,3.021606658,7.104328125,1,0.300908613,0.710080233,1,NA
